Кем стать в Data Science? | karpov.courses;https://www.youtube.com/watch?v=hv6jonYDwzI
Илья Богин — Тернистый путь программиста с самого детства | Подкаст | karpov.courses;https://www.youtube.com/watch?v=oKBQsrE_sM8
Иван Бушмаринов — Из языковой школы в химлабораторию и Аналитику Яндекса | Подкаст | karpov.courses;https://www.youtube.com/watch?v=y8A4eN0gt4c
Зачем нужен Симулятор ML-инженера? | Валерий Бабушкин | karpov.courses;https://www.youtube.com/watch?v=LhmU-oPFxj4
Middle Data Scientist | Часть 2. Секция Python и работы с данными | Собеседование | karpov.courses;https://www.youtube.com/watch?v=6adGYmQeJNw
Денис Пехтерев — от мечты стать CEO до карьеры в аналитике данных | Подкаст | karpov.courses;https://www.youtube.com/watch?v=LHKVcx115fw
Middle Data Scientist | Выпуск 1. Секция ML | Собеседование | karpov.courses;https://www.youtube.com/watch?v=54rqEzgWsgE
Построение пути до файла в Pandas | karpov.courses;https://www.youtube.com/watch?v=yssTPjrPsxs
Применение массивов для решения прикладной задачи в ClickHouse | Мария Сомова | karpov.courses;https://www.youtube.com/watch?v=QH44jyu3UFI
Сергей Бережной — от html-вёрстки до управления разработкой в Яндексе | Подкаст | karpov.courses;https://www.youtube.com/watch?v=qL1nxnEL0gE
Симулятор аналитика: что будет на курсе? | Анатолий Карпов | karpov.courses;https://www.youtube.com/watch?v=NV_zTFqa8KY
Как найти первую работу в Data Science? | Взгляд HR | karpov.courses;https://www.youtube.com/watch?v=RMyi-sazRTw
Data Engineer 2022 | Дорожная карта | Александр Савченко | karpov.courses;https://www.youtube.com/watch?v=39iwf3N1juo
Женя Цаплин – Data Science как бизнес | Подкаст | karpov.courses;https://www.youtube.com/watch?v=gPD7Okf8rIQ
Маша Чакчурина — бухгалтерия, астрофизика, свой курс по Python | Подкаст | karpov.courses;https://www.youtube.com/watch?v=1odgyAkhjRI
Data Science в России | Голосовой чат | karpov.courses;https://www.youtube.com/watch?v=6wGqWxFtnho
Работа аналитиком за рубежом | Голосовой чат | karpov.courses;https://www.youtube.com/watch?v=OXtOhjeiTzw
Релокация Data Science-специалиста | Голосовой чат | karpov.courses;https://www.youtube.com/watch?v=1Kvw_kpIUPA
System Design с Валерием Бабушкиным | Выпуск 4 | Собеседование | karpov.courses;https://www.youtube.com/watch?v=xfH2QMdCvWA
Дима Потапов – как стать хэдом продуктовой аналитики в Miro | Подкаст | karpov.courses;https://www.youtube.com/watch?v=KbghMJHltPY
Работа с Join в Pandas | Анатолий Карпов | karpov.courses;https://www.youtube.com/watch?v=McXzllkKWjk
Ксюша Байдина — Пермь, Германия, Яндекс | Подкаст | karpov.courses;https://www.youtube.com/watch?v=vSr1OSYJuu4
Работа с массивами в ClickHouse | Мария Сомова | karpov.courses;https://www.youtube.com/watch?v=ohTEPtkhGM8
Спорим о Hadoop: пора ли прощаться с любимым инструментом?;https://www.youtube.com/watch?v=9RVKtz86Jw0
Матрицы и векторы;https://www.youtube.com/watch?v=6d2xcN5Yy48
Саша Дончук — от электромобилей к компьютерному зрению для поездов | Подкаст | karpov.courses;https://www.youtube.com/watch?v=rJZVxWREJuU
Junior Data Scientist | Собеседование | karpov.courses;https://www.youtube.com/watch?v=Us_TKT8ZL2E
Снижение дисперсии через стратификацию Сuped | Валерий Бабушкин | Вводный урок | karpov.courses;https://www.youtube.com/watch?v=8MzvjrWUJ_0
Математика для машинного обучения;https://www.youtube.com/watch?v=Glu_-XffZB0
System Design с Валерием Бабушкиным | Выпуск 3 | Собеседование | karpov.courses;https://www.youtube.com/watch?v=iqbsHiSnZQE
Сергей Скворцов — от увлечения железом до программирования беспилотников | Подкаст | karpov.courses;https://www.youtube.com/watch?v=i63LwXHzQOg
Фильтрация данных в Pandas | Анатолий Карпов | karpov.courses;https://www.youtube.com/watch?v=fRU_PXSRNCc
Николай Дубовик — как оставить свой бизнес и стать инженером данных | Подкаст | karpov.courses;https://www.youtube.com/watch?v=36N_hqQExKA
Отзыв о курсе «Инженер данных» | karpov.courses;https://www.youtube.com/watch?v=scVy8kUG4xM
System Design с Валерием Бабушкиным | Выпуск 2 | Собеседование | karpov.courses;https://www.youtube.com/watch?v=DzWY_zceCxk
Лёша Баталов — в Яндекс на первую работу | Подкаст | karpov.courses;https://www.youtube.com/watch?v=PgatmqhdGkk
SQL запросы в Pandas | Анатолий Карпов | karpov.courses;https://www.youtube.com/watch?v=SASCRdieEP8
Дмитрий Охременко — из следователей в аналитики | Подкаст | karpov.courses;https://www.youtube.com/watch?v=Wngo-VHAF94
Start ML: преподаватели о каждом модуле | karpov.courses;https://www.youtube.com/watch?v=l7Hcgm-q4AI
Валерий Бабушкин: зачем и куда ушёл из Facebook? | Интервью | karpov.courses;https://www.youtube.com/watch?v=1tVxbVPVG6k
